anime_id,title,status,aired_string,score,scored_by,rank,popularity,members,genre
998,Blue Seed,Finished Airing,"Oct 5, 1994 to Mar 29, 1995",7.1,7135.0,3197.0,2790.0,18246.0,"Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi"
5631,Kaumori,Finished Airing,"Jan, 1930",5.57,458.0,8250.0,8600.0,840.0,"Drama, Samurai"
27821,Fate/stay night: Unlimited Blade Works - Prologue,Finished Airing,"Oct 5, 2014",8.23,97351.0,285.0,526.0,152748.0,"Action, Supernatural, Magic, Fantasy"
34129,Xia Lan,Finished Airing,"Jan 29, 2012 to Jul 15, 2016",5.45,11.0,12695.0,13057.0,96.0,"Action, Adventure, Historical, Supernatural, Drama, Magic, Martial Arts, Fantasy"
30648,Stitch!: Zutto Saikou no Tomodachi Special,Finished Airing,"Jun 19, 2011",5.99,85.0,7381.0,10426.0,309.0,"Adventure, Comedy, Kids"
7062,Hidamari Sketch x ☆☆☆,Finished Airing,"Jan 8, 2010 to Mar 26, 2010",7.96,8928.0,598.0,2777.0,18378.0,"Slice of Life, Comedy, School, Seinen"
10056,Sore Ike! Anpanman: Kyouryuu Nosshii no Daibouken,Finished Airing,"Jul 17, 1993",5.84,31.0,12211.0,11804.0,159.0,"Comedy, Fantasy, Kids"
2493,Touch 3: Kimi ga Toorisugita Ato ni - Don't Pass Me By,Finished Airing,"Apr 11, 1987",6.87,474.0,4061.0,7849.0,1238.0,"Drama, School, Sports"
1154,Mother: Saigo no Shoujo Eve,Finished Airing,"Dec 26, 1993",5.83,319.0,7731.0,8597.0,837.0,"Adventure, Drama, Sci-Fi"
2649,Doraemon: Obaachan no Omoide,Finished Airing,"Mar 4, 2000",7.45,511.0,1801.0,8039.0,1133.0,"Comedy, Fantasy, Kids, Sci-Fi, Shounen"
6852,Ahiru no Otegara,Finished Airing,1931,5.02,613.0,9019.0,8225.0,1023.0,Adventure
33378,"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",Finished Airing,"Nov 11, 2017",7.19,71.0,2844.0,4590.0,5830.0,"Comedy, Historical, Romance, Shoujo"
2245,Seraphim Call,Finished Airing,"Oct 6, 1999 to Dec 22, 1999",6.08,724.0,7159.0,5988.0,2962.0,"Romance, Drama, Sci-Fi"
6392,Issho ni Training: Training with Hinako,Finished Airing,"Apr 24, 2009",4.85,7682.0,9168.0,3209.0,13855.0,"Ecchi, Sports"
36542,Boku wa Robot-goshi no Kimi ni Koi wo Suru,Finished Airing,"Oct 21, 2017",6.48,328.0,5667.0,7036.0,1851.0,"Sci-Fi, Romance"
34060,Dead World,Finished Airing,"Sep 16, 2016",3.6,370.0,9482.0,8399.0,938.0,Horror
14289,Sukitte Ii na yo.,Finished Airing,"Oct 7, 2012 to Dec 30, 2012",7.67,179181.0,1177.0,192.0,313467.0,"Drama, Romance, School, Shoujo"
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Finished Airing,"Aug 6, 2005",6.98,73978.0,3650.0,714.0,120119.0,"Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural"
1370,Atama Yama,Finished Airing,"Jan 1, 2002",6.57,3136.0,5312.0,4761.0,5331.0,"Comedy, Dementia, Psychological, Fantasy"
21973,Sore Ike! Anpanman: Anpanman to Oyakusoku,Finished Airing,"Feb 1, 1998 to Mar 1, 1998",5.25,16.0,12185.0,12569.0,120.0,"Comedy, Fantasy, Kids"
1838,Mitsu x Mitsu Drops,Finished Airing,"Apr 28, 2006 to Jul 28, 2006",6.12,10378.0,7035.0,2712.0,19359.0,"Drama, Romance, School, Shoujo"
32281,Kimi no Na wa.,Finished Airing,"Aug 26, 2016",9.19,471398.0,2.0,33.0,730076.0,"Supernatural, Drama, Romance, School"
36725,Naisho no Hanashi,Finished Airing,"Feb 1, 2012",6.48,931.0,5688.0,6112.0,2818.0,Music
